drug_a,drug_b,text,label,text_length,freq_drug_a,freq_drug_b
dihydroergotamine,spirapril,The serum concentration of Spirapril can be increased when it is combined with Dihydroergotamine.,1,97,265,201
glisoxepide,trichlormethiazide,no interaction known or reported,0,32,84,327
metipranolol,icatibant,Metipranolol may decrease the antihypertensive activities of Icatibant.,1,71,190,193
cidofovir,imatinib,no interaction known or reported,0,32,34,478
trimipramine,isoetharine,The risk or severity of adverse effects can be increased when Trimipramine is combined with Isoetharine.,1,104,286,79
apixaban,simeprevir,no interaction known or reported,0,32,256,600
nimodipine,josamycin,The metabolism of Josamycin can be decreased when combined with Nimodipine.,1,75,226,134
hydrocodone,maprotiline,Hydrocodone may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.,1,106,417,328
pimecrolimus,delavirdine,The metabolism of Delavirdine can be decreased when combined with Pimecrolimus.,1,79,338,652
tolvaptan,ticagrelor,The serum concentration of Ticagrelor can be increased when it is combined with Tolvaptan.,1,90,274,273
terbutaline,mifepristone,Terbutaline may increase the QTc-prolonging activities of Mifepristone.,1,71,74,645
pargyline,doxazosin,Pargyline may increase the hypotensive activities of Doxazosin.,1,63,191,176
docetaxel,mebendazole,The risk or severity of adverse effects can be increased when Docetaxel is combined with Mebendazole.,1,101,332,69
eliglustat,formoterol,Eliglustat may increase the QTc-prolonging activities of Formoterol.,1,68,220,162
epoprostenol,amifostine,Epoprostenol may increase the hypotensive activities of Amifostine.,1,67,181,153
duloxetine,pizotifen,no interaction known or reported,0,32,188,271
colchicine,bepridil,The serum concentration of Bepridil can be increased when it is combined with Colchicine.,1,89,267,214
abiraterone,vitamin e,no interaction known or reported,0,32,72,81
ranitidine,doxycycline,no interaction known or reported,0,32,141,584
pindolol,seratrodast,Pindolol may decrease the antihypertensive activities of Seratrodast.,1,69,255,219
digoxin,carvedilol,Digoxin may increase the bradycardic activities of Carvedilol.,1,62,287,295
levothyroxine,nefazodone,The metabolism of Nefazodone can be decreased when combined with Levothyroxine.,1,79,109,695
magnesium sulfate,calcitriol,The serum concentration of Calcitriol can be increased when it is combined with Magnesium sulfate.,1,98,110,103
lansoprazole,telavancin,no interaction known or reported,0,32,165,72
omacetaxine mepesuccinate,digoxin,Omacetaxine mepesuccinate may decrease the cardiotoxic activities of Digoxin.,1,77,25,304
mesoridazine,entacapone,The risk or severity of adverse effects can be increased when Mesoridazine is combined with Entacapone.,1,103,305,233
hydromorphone,cholecalciferol,The metabolism of Cholecalciferol can be decreased when combined with Hydromorphone.,1,84,423,384
levosalbutamol,chloroprocaine,no interaction known or reported,0,32,46,156
pomalidomide,histamine,no interaction known or reported,0,32,141,65
ondansetron,leflunomide,The metabolism of Leflunomide can be decreased when combined with Ondansetron.,1,78,346,404
trabectedin,duloxetine,The metabolism of Duloxetine can be decreased when combined with Trabectedin.,1,77,177,519
alprostadil,iloprost,Alprostadil may increase the antiplatelet activities of Iloprost.,1,65,54,172
hydromorphone,etidocaine,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Etidocaine.,1,104,423,180
ledipasvir,digoxin,The serum concentration of Digoxin can be increased when it is combined with Ledipasvir.,1,88,225,304
quinestrol,nelarabine,no interaction known or reported,0,32,49,38
ezogabine,rotigotine,Ezogabine may increase the sedative activities of Rotigotine.,1,61,64,331
phenelzine,metolazone,Phenelzine may increase the hypotensive activities of Metolazone.,1,65,307,347
isocarboxazid,benazepril,Isocarboxazid may increase the hypotensive activities of Benazepril.,1,68,293,202
progesterone,vemurafenib,The serum concentration of Vemurafenib can be increased when it is combined with Progesterone.,1,94,218,356
cilnidipine,tizanidine,The risk or severity of adverse effects can be increased when Cilnidipine is combined with Tizanidine.,1,102,203,319
phenobarbital,lorcaserin,The metabolism of Lorcaserin can be increased when combined with Phenobarbital.,1,79,879,231
sitagliptin,enalapril,The risk or severity of adverse effects can be increased when Sitagliptin is combined with Enalapril.,1,101,192,225
erlotinib,clozapine,The metabolism of Clozapine can be decreased when combined with Erlotinib.,1,74,168,360
minocycline,sodium bicarbonate,Minocycline can cause a decrease in the absorption of Sodium bicarbonate resulting in a reduced serum concentration and potentially a decrease in efficacy.,1,155,67,93
brotizolam,ulobetasol,no interaction known or reported,0,32,148,141
ziprasidone,diphenoxylate,The risk or severity of adverse effects can be increased when Ziprasidone is combined with Diphenoxylate.,1,105,306,166
methyldopa,enalaprilat,Methyldopa may increase the hypotensive activities of Enalaprilat.,1,66,124,243
formoterol,bethanechol,no interaction known or reported,0,32,148,70
ergocalciferol,atomoxetine,The metabolism of Atomoxetine can be decreased when combined with Ergocalciferol.,1,81,107,617
phenobarbital,cabergoline,The metabolism of Cabergoline can be increased when combined with Phenobarbital.,1,80,879,127
amoxicillin,sertraline,The metabolism of Sertraline can be decreased when combined with Amoxicillin.,1,77,93,536
tizanidine,levocabastine,The risk or severity of adverse effects can be increased when Tizanidine is combined with Levocabastine.,1,104,269,291
protocatechualdehyde,pimecrolimus,Protocatechualdehyde may increase the anticoagulant activities of Pimecrolimus.,1,79,168,164
diamorphine,butamben,The risk or severity of adverse effects can be increased when Diamorphine is combined with Butamben.,1,100,205,191
besifloxacin,clonixin,no interaction known or reported,0,32,27,203
flibanserin,itraconazole,The serum concentration of Itraconazole can be increased when it is combined with Flibanserin.,1,94,117,600
haloprogin,xylometazoline,The risk or severity of adverse effects can be increased when Haloprogin is combined with Xylometazoline.,1,105,59,215
flurbiprofen,meclofenamic acid,The risk or severity of adverse effects can be increased when Flurbiprofen is combined with Meclofenamic acid.,1,110,238,169
epirizole,triamcinolone,The risk or severity of adverse effects can be increased when Epirizole is combined with Triamcinolone.,1,103,144,160
acenocoumarol,mesalazine,Acenocoumarol may increase the anticoagulant activities of Mesalazine.,1,70,425,230
alprazolam,fosinopril,The serum concentration of Fosinopril can be increased when it is combined with Alprazolam.,1,91,397,210
dihydrocodeine,quinethazone,The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Quinethazone.,1,107,364,249
cabozantinib,sildenafil,The metabolism of Sildenafil can be decreased when combined with Cabozantinib.,1,78,135,516
letrozole,phenmetrazine,no interaction known or reported,0,32,95,51
idarubicin,mifepristone,The serum concentration of Mifepristone can be increased when it is combined with Idarubicin.,1,93,211,645
methylphenobarbital,tizanidine,The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Tizanidine.,1,110,406,319
nimesulide,travoprost,The therapeutic efficacy of Travoprost can be decreased when used in combination with Nimesulide.,1,97,198,159
ritonavir,celecoxib,The metabolism of Celecoxib can be decreased when combined with Ritonavir.,1,74,146,401
alprazolam,sertindole,The risk or severity of adverse effects can be increased when Alprazolam is combined with Sertindole.,1,101,397,228
mexiletine,itraconazole,The metabolism of Itraconazole can be decreased when combined with Mexiletine.,1,78,129,600
flunarizine,paroxetine,The metabolism of Paroxetine can be decreased when combined with Flunarizine.,1,77,182,517
metformin,atorvastatin,no interaction known or reported,0,32,89,332
lurasidone,alogliptin,no interaction known or reported,0,32,293,160
cariprazine,lumefantrine,The metabolism of Lumefantrine can be decreased when combined with Cariprazine.,1,79,141,243
methoxyflurane,amphotericin b,no interaction known or reported,0,32,312,175
erlotinib,fluticasone furoate,no interaction known or reported,0,32,168,151
dicoumarol,oxaprozin,Dicoumarol may increase the anticoagulant activities of Oxaprozin.,1,66,385,180
fluticasone propionate,netupitant,The serum concentration of Netupitant can be increased when it is combined with Fluticasone propionate.,1,103,237,537
clorazepic acid,articaine,The risk or severity of adverse effects can be increased when Clorazepic acid is combined with Articaine.,1,105,314,183
clonidine,irbesartan,The risk or severity of adverse effects can be increased when Clonidine is combined with Irbesartan.,1,100,338,392
clonazepam,sulfisoxazole,The metabolism of Sulfisoxazole can be decreased when combined with Clonazepam.,1,79,146,567
butenafine,lycopene,no interaction known or reported,0,32,77,44
carmustine,fluvoxamine,The metabolism of Fluvoxamine can be decreased when combined with Carmustine.,1,77,66,727
metoprolol,loratadine,The serum concentration of Loratadine can be increased when it is combined with Metoprolol.,1,91,465,258
diazepam,trazodone,The risk or severity of adverse effects can be increased when Diazepam is combined with Trazodone.,1,98,355,202
codeine,fluspirilene,no interaction known or reported,0,32,357,232
ponatinib,ziprasidone,The metabolism of Ziprasidone can be decreased when combined with Ponatinib.,1,76,167,535
testosterone,paroxetine,The metabolism of Paroxetine can be decreased when combined with Testosterone.,1,78,152,517
oxymorphone,amoxapine,The risk or severity of adverse effects can be increased when Oxymorphone is combined with Amoxapine.,1,101,368,314
cisatracurium,lincomycin,Cisatracurium may increase the neuromuscular blocking activities of Lincomycin.,1,79,68,46
brigatinib,meclizine,no interaction known or reported,0,32,138,244
methadyl acetate,prazepam,The risk or severity of adverse effects can be increased when Methadyl acetate is combined with Prazepam.,1,105,221,189
cloxazolam,nintedanib,no interaction known or reported,0,32,35,62
haloperidol,pipamperone,The risk or severity of adverse effects can be increased when Haloperidol is combined with Pipamperone.,1,103,383,269
ergotamine,azelastine,The risk or severity of adverse effects can be increased when Ergotamine is combined with Azelastine.,1,101,397,233
acetaminophen,luliconazole,The serum concentration of Luliconazole can be increased when it is combined with Acetaminophen.,1,96,182,566
oxyphenonium,enzalutamide,no interaction known or reported,0,32,98,51
dextropropoxyphene,butobarbital,The risk or severity of adverse effects can be increased when Dextropropoxyphene is combined with Butobarbital.,1,111,302,171
lumefantrine,levofloxacin,Lumefantrine may increase the QTc-prolonging activities of Levofloxacin.,1,72,182,271
phenylpropanolamine,bendroflumethiazide,Phenylpropanolamine may increase the hypokalemic activities of Bendroflumethiazide.,1,83,80,336
etomidate,perospirone,The risk or severity of adverse effects can be increased when Etomidate is combined with Perospirone.,1,101,238,233
oxymorphone,fencamfamin,The risk or severity of adverse effects can be increased when Oxymorphone is combined with Fencamfamin.,1,103,368,215
granisetron,voriconazole,The metabolism of Voriconazole can be decreased when combined with Granisetron.,1,79,198,656
carbamazepine,butobarbital,The risk or severity of adverse effects can be increased when Carbamazepine is combined with Butobarbital.,1,106,825,171
alprazolam,boceprevir,The serum concentration of Boceprevir can be increased when it is combined with Alprazolam.,1,91,397,554
bosutinib,nitrendipine,The serum concentration of Nitrendipine can be increased when it is combined with Bosutinib.,1,92,353,246
molindone,difenoxin,The risk or severity of adverse effects can be increased when Molindone is combined with Difenoxin.,1,99,141,255
mycophenolate mofetil,raloxifene,no interaction known or reported,0,32,280,68
lornoxicam,indinavir,The metabolism of Indinavir can be decreased when combined with Lornoxicam.,1,75,198,672
ibrutinib,aprepitant,The serum concentration of Aprepitant can be increased when it is combined with Ibrutinib.,1,90,354,546
loratadine,sertraline,The metabolism of Sertraline can be decreased when combined with Loratadine.,1,76,233,536
mitotane,propranolol,The serum concentration of Propranolol can be decreased when it is combined with Mitotane.,1,90,570,264
umeclidinium,nevirapine,The metabolism of Nevirapine can be decreased when combined with Umeclidinium.,1,78,164,181
aceclofenac,sparfloxacin,Aceclofenac may increase the neuroexcitatory activities of Sparfloxacin.,1,72,207,225
lapatinib,fluconazole,The metabolism of Fluconazole can be decreased when combined with Lapatinib.,1,76,114,648
lorcaserin,udenafil,no interaction known or reported,0,32,210,52
dapiprazole,imipramine,The risk or severity of adverse effects can be increased when Dapiprazole is combined with Imipramine.,1,102,197,420
nimodipine,sulfisoxazole,The serum concentration of Sulfisoxazole can be increased when it is combined with Nimodipine.,1,94,226,567
epoprostenol,salicylic acid,The risk or severity of adverse effects can be increased when Epoprostenol is combined with Salicylic acid.,1,107,181,251
zuclopenthixol,ethyl loflazepate,The risk or severity of adverse effects can be increased when Zuclopenthixol is combined with Ethyl loflazepate.,1,112,365,174
eszopiclone,fexofenadine,The risk or severity of adverse effects can be increased when Eszopiclone is combined with Fexofenadine.,1,104,361,286
lopinavir,ticagrelor,The serum concentration of the active metabolites of Ticagrelor can be reduced when Ticagrelor is used in combination with Lopinavir resulting in a loss in efficacy.,1,165,178,273
chlorpheniramine,imipramine,The metabolism of Imipramine can be decreased when combined with Chlorpheniramine.,1,82,172,420
rifampicin,halofantrine,The metabolism of Halofantrine can be increased when combined with Rifampicin.,1,78,770,64
nitrazepam,ethylmorphine,The risk or severity of adverse effects can be increased when Nitrazepam is combined with Ethylmorphine.,1,104,267,218
lithium cation,moexipril,The serum concentration of Moexipril can be increased when it is combined with Lithium cation.,1,94,307,285
betahistine,procarbazine,The serum concentration of Procarbazine can be increased when it is combined with Betahistine.,1,94,64,167
prucalopride,imatinib,The serum concentration of Imatinib can be increased when it is combined with Prucalopride.,1,91,245,478
levocetirizine,epinastine,no interaction known or reported,0,32,113,130
dyclonine,levetiracetam,The risk or severity of adverse effects can be increased when Dyclonine is combined with Levetiracetam.,1,103,196,259
argatroban,droxicam,Argatroban may increase the anticoagulant activities of Droxicam.,1,65,214,208
suvorexant,rotigotine,Suvorexant may increase the sedative activities of Rotigotine.,1,62,344,331
benzocaine,oxetacaine,The risk or severity of adverse effects can be increased when Benzocaine is combined with Oxetacaine.,1,101,180,200
gliclazide,bezafibrate,Gliclazide may increase the hypoglycemic activities of Bezafibrate.,1,67,212,76
bazedoxifene,methylphenidate,no interaction known or reported,0,32,31,245
secobarbital,aripiprazole,The risk or severity of adverse effects can be increased when Secobarbital is combined with Aripiprazole.,1,105,604,263
aprepitant,arformoterol,The metabolism of Arformoterol can be increased when combined with Aprepitant.,1,78,126,167
doxepin,iobenguane,The therapeutic efficacy of Iobenguane can be decreased when used in combination with Doxepin.,1,94,270,121
citalopram,tropisetron,Citalopram may increase the serotonergic activities of Tropisetron.,1,67,280,85
dapiprazole,thiamylal,The risk or severity of adverse effects can be increased when Dapiprazole is combined with Thiamylal.,1,101,197,163
etoricoxib,chlorthalidone,The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Etoricoxib.,1,101,300,329
parecoxib,propacetamol,The risk or severity of adverse effects can be increased when Parecoxib is combined with Propacetamol.,1,102,242,226
famciclovir,darunavir,The metabolism of Darunavir can be decreased when combined with Famciclovir.,1,76,84,591
paliperidone,nitrous oxide,The risk or severity of adverse effects can be increased when Paliperidone is combined with Nitrous oxide.,1,106,374,121
piroxicam,zafirlukast,The metabolism of Zafirlukast can be decreased when combined with Piroxicam.,1,76,253,238
guanfacine,terazosin,The risk or severity of adverse effects can be increased when Guanfacine is combined with Terazosin.,1,100,275,199
rasagiline,bupropion,The risk or severity of adverse effects can be increased when Rasagiline is combined with Bupropion.,1,100,306,280
butamben,nabilone,Butamben may increase the central nervous system depressant (CNS depressant) activities of Nabilone.,1,100,131,349
ajmaline,anisotropine methylbromide,no interaction known or reported,0,32,97,84
mezlocillin,kanamycin,The serum concentration of Kanamycin can be decreased when it is combined with Mezlocillin.,1,91,44,90
selegiline,lofexidine,Selegiline may increase the hypotensive activities of Lofexidine.,1,65,423,163
streptomycin,digoxin,The serum concentration of Digoxin can be decreased when it is combined with Streptomycin.,1,90,115,304
naproxen,gemeprost,The therapeutic efficacy of Gemeprost can be decreased when used in combination with Naproxen.,1,94,250,107
doxofylline,cimetidine,The serum concentration of Cimetidine can be increased when it is combined with Doxofylline.,1,92,41,413
tiapride,vigabatrin,The risk or severity of adverse effects can be increased when Tiapride is combined with Vigabatrin.,1,99,128,246
digoxin,pasireotide,Digoxin may increase the bradycardic activities of Pasireotide.,1,63,287,146
omeprazole,netupitant,The serum concentration of Netupitant can be increased when it is combined with Omeprazole.,1,91,162,537
etoricoxib,tafluprost,The therapeutic efficacy of Tafluprost can be decreased when used in combination with Etoricoxib.,1,97,300,104
calcium acetate,nisoldipine,The therapeutic efficacy of Nisoldipine can be decreased when used in combination with Calcium acetate.,1,103,106,240
iloprost,metyrosine,Iloprost may increase the hypotensive activities of Metyrosine.,1,63,220,406
cefotiam,probenecid,The serum concentration of Probenecid can be increased when it is combined with Cefotiam.,1,89,33,218
alogliptin,amiodarone,The metabolism of Amiodarone can be decreased when combined with Alogliptin.,1,76,194,646
alfentanil,amobarbital,The risk or severity of adverse effects can be increased when Alfentanil is combined with Amobarbital.,1,102,370,111
isavuconazonium,stiripentol,The serum concentration of Stiripentol can be increased when it is combined with Isavuconazonium.,1,97,71,776
atorvastatin,ketoconazole,The risk or severity of adverse effects can be increased when Atorvastatin is combined with Ketoconazole.,1,105,111,706
riluzole,caffeine,The metabolism of Caffeine can be decreased when combined with Riluzole.,1,72,58,227
mephentermine,nylidrin,The risk or severity of adverse effects can be increased when Mephentermine is combined with Nylidrin.,1,102,187,71
cyclacillin,plicamycin,The serum concentration of Plicamycin can be decreased when it is combined with Cyclacillin.,1,92,56,87
moexipril,fenoldopam,Moexipril may increase the hypotensive activities of Fenoldopam.,1,64,216,149
furazolidone,buspirone,The risk or severity of adverse effects can be increased when Furazolidone is combined with Buspirone.,1,102,209,131
framycetin,magnesium salicylate,Framycetin may decrease the excretion rate of Magnesium salicylate which could result in a higher serum level.,1,110,112,237
eliglustat,gadoxetic acid,no interaction known or reported,0,32,220,31
alcaftadine,edoxaban,no interaction known or reported,0,32,23,67
milrinone,penbutolol,no interaction known or reported,0,32,48,295
lansoprazole,ticlopidine,The metabolism of Ticlopidine can be decreased when combined with Lansoprazole.,1,79,165,678
acebutolol,carbamoylcholine,The risk or severity of adverse effects can be increased when Acebutolol is combined with Carbamoylcholine.,1,107,227,77
droxicam,cannabidiol,no interaction known or reported,0,32,129,40
choline magnesium trisalicylate,zoledronic acid,The risk or severity of adverse effects can be increased when Choline magnesium trisalicylate is combined with Zoledronic acid.,1,127,165,140
valsartan,fenoldopam,Valsartan may increase the hypotensive activities of Fenoldopam.,1,64,254,149
benzphetamine,galantamine,no interaction known or reported,0,32,295,168
acemetacin,carboprost tromethamine,The therapeutic efficacy of Carboprost tromethamine can be decreased when used in combination with Acemetacin.,1,110,248,101
floctafenine,paramethasone,The risk or severity of adverse effects can be increased when Floctafenine is combined with Paramethasone.,1,106,208,150
propranolol,chloramphenicol,The metabolism of Chloramphenicol can be decreased when combined with Propranolol.,1,82,342,210
butorphanol,maprotiline,The risk or severity of adverse effects can be increased when Butorphanol is combined with Maprotiline.,1,103,307,328
irbesartan,sulfamethoxazole,The metabolism of Sulfamethoxazole can be decreased when combined with Irbesartan.,1,82,178,302
methoxyflurane,fluorouracil,The metabolism of Fluorouracil can be decreased when combined with Methoxyflurane.,1,82,312,233
thalidomide,temazepam,Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Temazepam.,1,104,473,67
miconazole,amrinone,no interaction known or reported,0,32,128,108
hydrocodone,bortezomib,The serum concentration of Bortezomib can be increased when it is combined with Hydrocodone.,1,92,417,595
chlordiazepoxide,erythromycin,The metabolism of Erythromycin can be decreased when combined with Chlordiazepoxide.,1,84,345,532
pentobarbital,dexbrompheniramine,The risk or severity of adverse effects can be increased when Pentobarbital is combined with Dexbrompheniramine.,1,112,841,231
nepafenac,desonide,The risk or severity of adverse effects can be increased when Nepafenac is combined with Desonide.,1,98,201,145
pyrantel,valrubicin,Pyrantel may increase the respiratory depressant activities of Valrubicin.,1,74,72,91
vismodegib,desloratadine,no interaction known or reported,0,32,123,332
goserelin,bortezomib,Goserelin may increase the QTc-prolonging activities of Bortezomib.,1,67,151,595
fludrocortisone,acarbose,The therapeutic efficacy of Acarbose can be decreased when used in combination with Fludrocortisone.,1,100,150,131
bupivacaine,dihydroergotamine,The metabolism of Dihydroergotamine can be decreased when combined with Bupivacaine.,1,84,431,528
lithium cation,fenbufen,The serum concentration of Fenbufen can be increased when it is combined with Lithium cation.,1,93,307,201
cyproterone acetate,lomefloxacin,The serum concentration of Lomefloxacin can be decreased when it is combined with Cyproterone acetate.,1,102,254,41
diethylpropion,clozapine,Diethylpropion may decrease the stimulatory activities of Clozapine.,1,68,188,360
bupivacaine,midostaurin,The metabolism of Midostaurin can be decreased when combined with Bupivacaine.,1,78,431,440
letermovir,iohexol,no interaction known or reported,0,32,104,26
metoprolol,deserpidine,Metoprolol may increase the hypotensive activities of Deserpidine.,1,66,465,156
sulfanilamide,erythromycin,no interaction known or reported,0,32,33,532
isoxsuprine,isosorbide mononitrate,no interaction known or reported,0,32,45,190
alprostadil,dexlansoprazole,no interaction known or reported,0,32,54,62
darunavir,gliquidone,The therapeutic efficacy of Gliquidone can be decreased when used in combination with Darunavir.,1,96,111,137
nateglinide,aprepitant,The serum concentration of Aprepitant can be increased when it is combined with Nateglinide.,1,92,227,546
rasagiline,apraclonidine,The risk or severity of adverse effects can be increased when Rasagiline is combined with Apraclonidine.,1,104,306,181
azelastine,ciclesonide,The risk or severity of adverse effects can be increased when Azelastine is combined with Ciclesonide.,1,102,580,137
alimemazine,betaxolol,Alimemazine may increase the hypotensive activities of Betaxolol.,1,65,133,336
dapiprazole,flibanserin,The risk or severity of adverse effects can be increased when Dapiprazole is combined with Flibanserin.,1,103,197,295
tasosartan,oxyphenbutazone,The risk or severity of adverse effects can be increased when Tasosartan is combined with Oxyphenbutazone.,1,106,192,183
adapalene,alprostadil,The therapeutic efficacy of Alprostadil can be decreased when used in combination with Adapalene.,1,97,218,143
phenobarbital,ergocalciferol,The metabolism of Ergocalciferol can be increased when combined with Phenobarbital.,1,83,879,62
cyproterone acetate,ziprasidone,The serum concentration of Ziprasidone can be decreased when it is combined with Cyproterone acetate.,1,101,254,535
somatostatin,zoledronic acid,no interaction known or reported,0,32,51,140
captodiame,etoricoxib,no interaction known or reported,0,32,32,232
echothiophate,fluphenazine,no interaction known or reported,0,32,103,127
isoflurane,spironolactone,The risk or severity of adverse effects can be increased when Isoflurane is combined with Spironolactone.,1,105,355,178
vigabatrin,cyclizine,The risk or severity of adverse effects can be increased when Vigabatrin is combined with Cyclizine.,1,100,72,263
hydromorphone,carbinoxamine,The risk or severity of adverse effects can be increased when Hydromorphone is combined with Carbinoxamine.,1,107,423,244
barnidipine,clonidine,The risk or severity of adverse effects can be increased when Barnidipine is combined with Clonidine.,1,101,221,285
disopyramide,naldemedine,no interaction known or reported,0,32,295,29
terconazole,benidipine,The risk or severity of adverse effects can be increased when Terconazole is combined with Benidipine.,1,102,77,109
fenbufen,folic acid,The therapeutic efficacy of Folic acid can be decreased when used in combination with Fenbufen.,1,95,147,112
donepezil,sulfadiazine,The metabolism of Sulfadiazine can be decreased when combined with Donepezil.,1,77,241,225
metoclopramide,cevimeline,The risk or severity of adverse effects can be increased when Metoclopramide is combined with Cevimeline.,1,105,229,89
fluocortolone,telithromycin,The serum concentration of Telithromycin can be increased when it is combined with Fluocortolone.,1,97,130,587
ranitidine,topiramate,The metabolism of Topiramate can be decreased when combined with Ranitidine.,1,76,141,360
isocarboxazid,metipranolol,Isocarboxazid may increase the hypotensive activities of Metipranolol.,1,70,293,276
remifentanil,flunarizine,The risk or severity of adverse effects can be increased when Remifentanil is combined with Flunarizine.,1,104,361,335
thiopental,butamben,The risk or severity of adverse effects can be increased when Thiopental is combined with Butamben.,1,99,381,191
potassium alum,cladribine,no interaction known or reported,0,32,37,47
halazepam,chlorprothixene,The risk or severity of adverse effects can be increased when Halazepam is combined with Chlorprothixene.,1,105,194,223
methyclothiazide,pentolinium,The serum concentration of Pentolinium can be increased when it is combined with Methyclothiazide.,1,98,212,175
estramustine,osimertinib,The serum concentration of Osimertinib can be increased when it is combined with Estramustine.,1,94,109,524
dofetilide,atazanavir,The serum concentration of Atazanavir can be increased when it is combined with Dofetilide.,1,91,273,597
canagliflozin,apixaban,no interaction known or reported,0,32,140,135
edoxaban,atorvastatin,The serum concentration of Atorvastatin can be increased when it is combined with Edoxaban.,1,91,371,332
flunisolide,fusidic acid,The serum concentration of Fusidic acid can be increased when it is combined with Flunisolide.,1,94,156,518
alprenolol,mycophenolate mofetil,Alprenolol may decrease the antihypertensive activities of Mycophenolate mofetil.,1,81,266,183
desipramine,moexipril,The serum concentration of Moexipril can be increased when it is combined with Desipramine.,1,91,220,285
celiprolol,maraviroc,no interaction known or reported,0,32,259,46
iopromide,ascorbic acid,no interaction known or reported,0,32,40,29
oxymorphone,diltiazem,The metabolism of Diltiazem can be decreased when combined with Oxymorphone.,1,76,368,583
vandetanib,fingolimod,Vandetanib may increase the QTc-prolonging activities of Fingolimod.,1,68,191,259
dantrolene,trifluoperazine,no interaction known or reported,0,32,130,148
acenocoumarol,glimepiride,Acenocoumarol may increase the anticoagulant activities of Glimepiride.,1,71,425,149
calcium phosphate,xylometazoline,The therapeutic efficacy of Xylometazoline can be decreased when used in combination with Calcium Phosphate.,1,108,105,215
cabergoline,quinupristin,The risk or severity of adverse effects can be increased when Cabergoline is combined with Quinupristin.,1,104,410,53
paroxetine,desmopressin,The risk or severity of adverse effects can be increased when Paroxetine is combined with Desmopressin.,1,103,132,161
rasagiline,lobeglitazone,The metabolism of Lobeglitazone can be decreased when combined with Rasagiline.,1,79,306,357
clonidine,promethazine,The risk or severity of adverse effects can be increased when Clonidine is combined with Promethazine.,1,102,338,344
dasatinib,amiodarone,The serum concentration of Amiodarone can be increased when it is combined with Dasatinib.,1,90,106,646
nefazodone,methoxsalen,no interaction known or reported,0,32,182,44
naratriptan,furazolidone,The metabolism of Furazolidone can be decreased when combined with Naratriptan.,1,79,115,158
eszopiclone,sertraline,The risk or severity of adverse effects can be increased when Eszopiclone is combined with Sertraline.,1,102,361,536
chlordiazepoxide,ethchlorvynol,The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Ethchlorvynol.,1,110,345,125
nilutamide,acetyldigitoxin,Nilutamide may decrease the cardiotoxic activities of Acetyldigitoxin.,1,70,75,326
macitentan,citalopram,The metabolism of Citalopram can be decreased when combined with Macitentan.,1,76,120,483
lofexidine,sotalol,Lofexidine may increase the atrioventricular blocking (AV block) activities of Sotalol.,1,87,152,217
proparacaine,doxepin,The risk or severity of adverse effects can be increased when Proparacaine is combined with Doxepin.,1,100,190,370
anagrelide,itraconazole,Anagrelide may increase the QTc-prolonging activities of Itraconazole.,1,70,243,600
magaldrate,atovaquone,no interaction known or reported,0,32,123,59
triflupromazine,thiamylal,The risk or severity of adverse effects can be increased when Triflupromazine is combined with Thiamylal.,1,105,249,163
rosuvastatin,telaprevir,The serum concentration of Telaprevir can be increased when it is combined with Rosuvastatin.,1,93,340,546
minaprine,enalapril,Minaprine may increase the hypotensive activities of Enalapril.,1,63,301,225
nystatin,amlodipine,The risk or severity of adverse effects can be increased when Nystatin is combined with Amlodipine.,1,99,75,236
ergotamine,methylergometrine,no interaction known or reported,0,32,397,103
dexamethasone,sitagliptin,The therapeutic efficacy of Sitagliptin can be decreased when used in combination with Dexamethasone.,1,101,213,172
sevoflurane,lormetazepam,The risk or severity of adverse effects can be increased when Sevoflurane is combined with Lormetazepam.,1,104,378,202
alprazolam,loratadine,The risk or severity of adverse effects can be increased when Alprazolam is combined with Loratadine.,1,101,397,258
tiapride,ramelteon,The risk or severity of adverse effects can be increased when Tiapride is combined with Ramelteon.,1,98,128,248
tranylcypromine,xylometazoline,Tranylcypromine may increase the hypotensive activities of Xylometazoline.,1,74,346,215
ondansetron,pentamidine,Ondansetron may increase the QTc-prolonging activities of Pentamidine.,1,70,346,105
busulfan,haloprogin,The serum concentration of Haloprogin can be increased when it is combined with Busulfan.,1,89,138,44
bacitracin,fluoxymesterone,no interaction known or reported,0,32,41,103
etoricoxib,dinoprost tromethamine,The therapeutic efficacy of Dinoprost tromethamine can be decreased when used in combination with Etoricoxib.,1,109,300,110
edoxaban,loxoprofen,Edoxaban may increase the anticoagulant activities of Loxoprofen.,1,65,371,215
arformoterol,bupropion,The metabolism of Bupropion can be decreased when combined with Arformoterol.,1,77,142,280
bosutinib,etravirine,The serum concentration of Etravirine can be increased when it is combined with Bosutinib.,1,90,353,291
hydrocodone,pregabalin,Hydrocodone may increase the central nervous system depressant (CNS depressant) activities of Pregabalin.,1,105,417,159
chlorprothixene,butalbital,The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Butalbital.,1,106,161,204
